first_name;last_name;email;address;postal_code;city;IntérêtDéfense;IntérêtÉconomie;IntérêtÉducation;IntérêtGéopolitique;CentreIntérêtLaCouture;CentreIntérêtLeVélo;CentreIntérêtLaCuisine;CentreIntérêtLesVoyages;CentreIntérêtRien;donateur10;donateur20;donateur50;donateur100;PetitionSauvezWilly;PetitionSouleverDesMontagne;PetitionVieDureSansConfiture;MeetingGrandMeetingDeLaRentree2022;MeetingLesRencontresMensuelles;MeetingManifestationContreLeauFroide;MeetingManifestationContreLeFeu;Latitude;Longitude
Sophie;Ruiz;benoit03@gillet.fr;0 AV DE LA COTE DE NACRE;14000;CAEN;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;49.201303;-0.360873
Inès;Nguyen;letellier.marc@blanc.com;0 RPT DE GIRAC;16470;SAINT-MICHEL;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;45.634279;0.121481
Inès;Mahe;dumont.arthur@evrard.org;0 RUE DU DOCTEUR SCHWEITZER;17000;LA ROCHELLE;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;46.158449;-1.144872
Paulette;Renard;lcharrier@laposte.net;22 CRS GRANDVAL;20000;AJACCIO;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;41.91793;8.73236
Camille;Breton;chevalier.paul@andre.fr;0  FALCONAJA;20600;BASTIA;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;42.681055;9.435406
Laurence;Masson;nicole.delannoy@lemonnier.net;17 BD DE LA TREMOUILLE;21000;DIJON;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;47.325954;5.042019
Yves;Bertin;besnard.andre@orange.fr;0 PL DE LA LIBERATION;21000;DIJON;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;47.321147;5.041309
Louis;Vallet;andre68@tele2.fr;53 RUE DE LA PREFECTURE;21000;DIJON;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;47.324825;5.042427
Bertrand;Da Costa;cecile88@guillaume.org;2 BD MAL DE LATTRE DE TASSIGNY;21000;DIJON;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;47.320121;5.068478
Paulette;Petit;cgosselin@dbmail.com;9 PL DU GENERAL DE GAULLE;22000;SAINT-BRIEUC;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;48.513961;-2.764912
Théodore;Germain;qphilippe@huet.com;10 RUE MARCEL PROUST;22000;SAINT-BRIEUC;Oui;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;48.490442;-2.747687
Gilles;Gosselin;mparent@pruvost.fr;13  LE PEREY - SAINT JACUT DU MENE;22330;LE MENE;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;48.280843;-2.506374
Maryse;Marty;lemaitre.stephanie@aubry.org;7 RUE DE LA JEANNAIE;22400;LAMBALLE-ARMOR;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;48.466475;-2.539495
Julie;Raymond;traore.francoise@club-internet.fr;2 RUE PAUL LOUIS COURIER;24000;PERIGUEUX;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;45.187249;0.725262
Éléonore;Guerin;wgilbert@pinto.fr;80 AV GEORGES POMPIDOU;24000;PERIGUEUX;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;45.194717;0.731689
Augustin;Gauthier;anouk44@bodin.net;4 SQ CASTAN;25000;BESANCON;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;47.234547;6.030397
Rémy;Philippe;perrot.margaud@yahoo.fr;2 RUE MEGEVAND;25000;BESANCON;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Oui;Non;Oui;Non;Non;Non;47.236687;6.022095
Gérard;Adam;guyon.arthur@wanadoo.fr;3 BD ALEXANDRE FLEMING;25000;BESANCON;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;47.22651;5.963925
Marcelle;Guerin;parent.xavier@alves.fr;27 RUE DE PONTARLIER;25600;SOCHAUX;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;47.511067;6.837873
Adrien;Dumas;sbaron@etienne.com;26 AV PRESIDENT HERRIOT;26000;VALENCE;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;44.935235;4.894667
Victor;Vaillant;suzanne.giraud@robert.fr;179 BD MARECHAL JUIN;26000;VALENCE;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;44.912106;4.906915
Martin;Riou;barthelemy.maryse@gmail.com;0 CITE ATOMIQUE;26700;PIERRELATTE;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;44.346888;4.69283
Marie;Fleury;mlombard@raymond.com;0  VOIE DE L INSTITUT;27100;VAL-DE-REUIL;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;49.237499;1.168675
Hortense;Pierre;sleclercq@gilbert.fr;32 BD DUPLEIX;29000;QUIMPER;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;47.994686;-4.101425
Étienne;Rodriguez;ines.fournier@guyon.fr;14 AV YVES THEPOT;29000;QUIMPER;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;47.987738;-4.095004
Patricia;Duval;radam@sfr.fr;0 BD TANGUY PRIGENT;29200;BREST;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;48.397732;-4.483254
Maggie;Marchal;shernandez@dbmail.com;24 RUE COAT AR GUEVEN;29200;BREST;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;48.393709;-4.483055
Jules;Laine;dupont.benjamin@hotmail.fr;0  ARSENAL;29200;BREST;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;48.383861;-4.516098
Colette;Leveque;hernandez.jules@valette.fr;15 RUE DE KERSAINT GILLY;29600;MORLAIX;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;48.569881;-3.830611
William;Weber;michel95@leveque.com;0 PL DE L HOTEL DE VILLE;30000;NIMES;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;43.836344;4.359711
Émile;Fouquet;jean.maillard@gmail.com;0 RUE GUILLEMETTE;30000;NIMES;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;43.831652;4.363338
Xavier;Mercier;begue.penelope@masson.net;0 PL DU PROFESSEUR ROBERT DEBRE;30900;NIMES;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;43.824278;4.325287
Thibaut;Charrier;xgilbert@tele2.fr;1 BD DE LA MARQUETTE;31000;TOULOUSE;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;43.615663;1.436756
Lorraine;Vasseur;thierry.poirier@sauvage.fr;6 RUE RENE LEDUC;31500;TOULOUSE;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;43.611189;1.456189
Marthe;Bernard;jean.edouard@imbert.com;1 RPT MAURICE BELLONTE;31700;BLAGNAC;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;43.626783;1.385495
Édouard;Legrand;aurelie80@sfr.fr;2 RPT EMILE DEWOITINE;31700;BLAGNAC;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;43.625142;1.382138
Denis;Etienne;sabine.aubry@live.com;4 AV DIDIER DAURAT;31700;BLAGNAC;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;43.62658;1.38171
Gilles;Letellier;joseph.poirier@club-internet.fr;12 BD ANTOINE GAUTIER;33000;BORDEAUX;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;44.832927;-0.598219
Camille;Benard;theophile02@gmail.com;112 RUE DE LA MARNE;33500;LIBOURNE;Non;Non;Oui;Oui;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;44.919156;-0.229792
Gabrielle;Delahaye;martin.bonneau@regnier.com;0 AV DE MAGELLAN;33600;PESSAC;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;44.783404;-0.663518
Camille;Teixeira;gilles.collet@sfr.fr;201 AV DE LA POMPIGNANE;34000;MONTPELLIER;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;43.606665;3.898276
Hélène;Dijoux;hugues85@noos.fr;50 PL ZEUS;34000;MONTPELLIER;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Oui;Non;Non;43.6078;3.890743
Benjamin;Denis;jacqueline48@orange.fr;1 PL GEORGES FRECHE;34070;MONTPELLIER;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;43.598842;3.896549
Richard;Deschamps;adelaide68@allard.fr;1977 AV DES MOULINS;34080;MONTPELLIER;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;43.62333;3.836766
Jeanne;Chretien;william97@barre.org;1919 RTE DE MENDE;34090;MONTPELLIER;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;43.638598;3.865482
Suzanne;Collet;nmoulin@guichard.com;371 AV DU DOYEN GASTON GIRAUD;34090;MONTPELLIER;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;43.633401;3.850049
Astrid;Chevallier;olivier31@pasquier.com;191 AV DU DOYEN GASTON GIRAUD;34090;MONTPELLIER;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;43.633346;3.850395
Antoine;Bouvier;martin.constance@laposte.net;2 RUE VALENTIN HAUY;34500;BEZIERS;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;43.339674;3.254307
Pénélope;Gomez;slambert@remy.fr;480 AV ST SAUVEUR DU PIN;34980;SAINT-CLEMENT-DE-RIVIERE;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;43.710931;3.833339
Jacques;Herve;iparent@barre.org;0 PL DE LA MAIRIE;35000;RENNES;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;48.110964;-1.679255
Célina;Carre;anastasie.hoarau@guichard.net;1 AV DE LA PREFECTURE;35000;RENNES;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;48.127132;-1.693496
Alphonse;Klein;eandre@ferrand.net;2 RUE HENRI LE GUILLOUX;35000;RENNES;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;48.118518;-1.692634
Nath;Huet;helene83@hotmail.fr;0  LA JANAIS;35131;CHARTRES-DE-BRETAGNE;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;48.054999;-1.705481
Isabelle;Garnier;margaud.riou@meunier.com;1 RUE DE LA MARNE;35400;SAINT-MALO;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;48.634111;-2.008021
Adélaïde;Courtois;georges28@laposte.net;283 AV GENERAL GEORGE S PATTON;35700;RENNES;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;48.134736;-1.660295
Gérard;Moulin;odette.moulin@tele2.fr;0 BD DE LA ROBIQUETTE;35760;SAINT-GREGOIRE;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;48.133385;-1.692826
Henriette;Aubert;marc68@lambert.org;1 RUE DES MINIMES;37000;TOURS;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;47.391146;0.688823
Michelle;Delorme;blondel.yves@yahoo.fr;0 PL DE LA PREFECTURE;37000;TOURS;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;47.39307;0.690695
Frédérique;Maurice;marthe17@clement.com;2 BD TONNELLE;37000;TOURS;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;47.387822;0.667133
Hortense;Merle;marcelle.peltier@free.fr;0 AV DE LA REPUBLIQUE;37170;CHAMBRAY-LES-TOURS;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;47.343665;0.715539
Benoît;Rodrigues;pmaury@chevallier.fr;25 AV DES MARTYRS;38000;GRENOBLE;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;45.204174;5.701612
Océane;Vaillant;perrier.veronique@normand.fr;11 BD JEAN PAIN;38000;GRENOBLE;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;45.186782;5.736165
Robert;Lefort;faure.christelle@hotmail.fr;7 RUE FANTIN LATOUR;38000;GRENOBLE;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;45.186824;5.732739
Suzanne;Nicolas;luc81@traore.com;17 AV DES MARTYRS;38000;GRENOBLE;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;45.20085;5.705959
Michelle;Brunel;henriette.guillaume@brun.fr;27 RUE ANATOLE FRANCE;38100;GRENOBLE;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;45.172281;5.707809
Dorothée;Pruvost;diane.langlois@didier.fr;621 AV CENTRALE;38400;SAINT MARTIN D'HERES;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;45.191778;5.767253
Colette;Benoit;marthe.fernandez@jacquot.org;0 BD DE LA CHANTOURNE;38700;LA TRONCHE;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;45.196799;5.750745
Xavier;Julien;lebon.vincent@free.fr;850 RUE JEAN MONNET;38920;CROLLES;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;45.267107;5.884495
Pénélope;Ramos;amelie07@bertrand.net;0 AV PIERRE DE COUBERTIN;40000;MONT-DE-MARSAN;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;43.895012;-0.489869
Martin;Denis;rousseau.margaux@ferrand.fr;0  MAIL PIERRE CHARLOT;41000;BLOIS;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;47.600213;1.341658
Adèle;Riviere;cecile.nicolas@hardy.com;0 PL HOTEL DE VILLE;42000;SAINT-ETIENNE;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;45.438977;4.38759
Guillaume;Dupuis;olivie.prevost@delahaye.fr;0 AV ALBERT RAIMOND;42270;SAINT-PRIEST-EN-JAREZ;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;45.475149;4.369161
Roger;Gallet;denis.gaillard@normand.net;28 RUE DE CHARLIEU;42300;ROANNE;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;46.043058;4.078075
Olivie;Sanchez;wpires@chevallier.fr;1 PL ALEXIS RICORDEAU;44000;NANTES;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;47.211977;-1.554098
Arnaude;Herve;margaux.couturier@bousquet.fr;3 RUE BELLIER;44000;NANTES;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;47.221906;-1.524807
Stéphane;Chauvin;grenier.julie@hotmail.fr;0 RUE DE L AVIATION;44340;BOUGUENAIS;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;47.162129;-1.586003
Philippe;Peltier;rossi.thierry@mace.fr;0  ZAC DE CADREAN;44550;MONTOIR-DE-BRETAGNE;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;47.319163;-2.154754
Lucas;Camus;marguerite12@noos.fr;11 BD GEORGES CHARPAK;44600;SAINT-NAZAIRE;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;47.266918;-2.255893
Zacharie;Da Costa;besson.roger@orange.fr;0 AV ANTOINE BOURDELLE;44600;SAINT-NAZAIRE;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;47.289561;-2.192472
Jules;Monnier;zmartin@gauthier.fr;0 BD PROFESSEUR JACQUES MONOD;44800;SAINT-HERBLAIN;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;47.221074;-1.609355
Margaret;Godard;antoinette.leduc@legoff.com;1 PL DE L ETAPE;45000;ORLEANS;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;47.903203;1.908449
Théodore;Traore;grousset@muller.fr;15 RUE EUGENE VIGNAT;45000;ORLEANS;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;47.907885;1.910454
Michelle;Toussaint;valerie.perret@remy.fr;9 RUE ST PIERRE LENTIN;45000;ORLEANS;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;47.901147;1.909558
Bernadette;Potier;marguerite09@carre.fr;14 AV DE L HOPITAL;45100;ORLEANS;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;47.83647;1.923333
